feature,mean_percentile,min_percentile,mean_f,group
mfcc_20_mean,0.7581453634085213,0.5676691729323309,14.326718179892525,MFCC
mfcc_20_std,0.4962406015037594,0.38345864661654133,7.8886931209999895,MFCC
mfcc_21_mean,0.543859649122807,0.42105263157894735,8.66942729765356,MFCC
mfcc_21_std,0.39974937343358397,0.33458646616541354,6.5116331179798825,MFCC
mfcc_22_mean,0.2230576441102757,0.16541353383458646,3.261761377362017,MFCC
mfcc_22_std,0.36967418546365916,0.33458646616541354,6.193542354516343,MFCC
mfcc_23_mean,0.12656641604010024,0.09022556390977443,2.069486297048248,MFCC
mfcc_23_std,0.5037593984962406,0.37969924812030076,7.949632260895645,MFCC
mfcc_24_mean,0.34711779448621555,0.22556390977443608,5.3208662958804975,MFCC
mfcc_24_std,0.5338345864661654,0.4398496240601504,8.56654579344465,MFCC
mfcc_25_mean,0.5864661654135338,0.4323308270676692,9.001046480144014,MFCC
mfcc_25_std,0.39223057644110276,0.37218045112781956,6.821887975797094,MFCC
mfcc_26_mean,0.40852130325814534,0.3684210526315789,6.659636988850353,MFCC
mfcc_26_std,0.3621553884711779,0.2706766917293233,6.300413804611643,MFCC
mfcc_27_mean,0.974937343358396,0.9661654135338346,39.31740324881892,MFCC
mfcc_27_std,0.4598997493734336,0.41353383458646614,7.87019966925844,MFCC
mfcc_28_mean,0.7255639097744361,0.6278195488721805,13.81910652451746,MFCC
mfcc_28_std,0.4360902255639098,0.39473684210526316,7.500177810281021,MFCC
mfcc_29_mean,0.5952380952380952,0.46616541353383456,9.839507245003412,MFCC
mfcc_29_std,0.45363408521303256,0.41729323308270677,7.650145583720569,MFCC
mfcc_30_mean,0.2781954887218045,0.19172932330827067,4.275183623585444,MFCC
mfcc_30_std,0.3822055137844611,0.3533834586466165,6.6664762493910645,MFCC
mfcc_31_mean,0.16416040100250626,0.06015037593984962,2.534852968035351,MFCC
mfcc_31_std,0.406015037593985,0.33458646616541354,6.708907725252513,MFCC
mfcc_32_mean,0.18045112781954886,0.08646616541353383,3.03141122352673,MFCC
mfcc_32_std,0.418546365914787,0.3609022556390977,6.76190221825757,MFCC
mfcc_33_mean,0.2706766917293233,0.17293233082706766,4.248425732085262,MFCC
mfcc_33_std,0.4197994987468672,0.29699248120300753,6.7779627175593475,MFCC
mfcc_34_mean,0.6077694235588972,0.4548872180451128,10.020462613898172,MFCC
mfcc_34_std,0.5714285714285714,0.34210526315789475,10.09110746731129,MFCC
mfcc_35_mean,0.35714285714285715,0.29699248120300753,5.365627259742536,MFCC
mfcc_35_std,0.4786967418546366,0.2857142857142857,7.919470875087112,MFCC
mfcc_36_mean,0.14160401002506265,0.08646616541353383,2.2188466582774145,MFCC
mfcc_36_std,0.5075187969924811,0.41353383458646614,8.285874283467079,MFCC
mfcc_37_mean,0.3433583959899749,0.2706766917293233,5.13574339757817,MFCC
mfcc_37_std,0.630325814536341,0.518796992481203,10.204302498226893,MFCC
mfcc_38_mean,0.2719298245614035,0.2556390977443609,4.070417147566373,MFCC
mfcc_38_std,0.40726817042606517,0.2894736842105263,6.988212828762961,MFCC
mfcc_39_mean,0.3333333333333333,0.2669172932330827,5.561271065067996,MFCC
mfcc_39_std,0.5175438596491228,0.3233082706766917,8.14179639340478,MFCC
mfcc_40_mean,0.5476190476190476,0.3458646616541353,9.638103942426953,MFCC
mfcc_40_std,0.49122807017543857,0.2781954887218045,7.6095458967638265,MFCC
mfcc_delta2_01_mean,0.2932330827067669,0.2593984962406015,4.431580953463385,MFCC
mfcc_delta2_01_std,0.30701754385964913,0.19924812030075187,5.031459555696299,MFCC
mfcc_delta2_02_mean,0.3233082706766917,0.22180451127819548,5.215202388405573,MFCC
mfcc_delta2_02_std,0.3308270676691729,0.2932330827067669,5.18126832488004,MFCC
mfcc_delta2_03_mean,0.49122807017543857,0.31954887218045114,8.02998097641028,MFCC
mfcc_delta2_03_std,0.3746867167919799,0.2518796992481203,6.21136746564824,MFCC
mfcc_delta2_04_mean,0.49498746867167925,0.4699248120300752,8.124931759885174,MFCC
mfcc_delta2_04_std,0.5701754385964912,0.44360902255639095,9.741879912714712,MFCC
mfcc_delta2_05_mean,0.3233082706766917,0.23684210526315788,5.33012280202301,MFCC
mfcc_delta2_05_std,0.7894736842105262,0.6090225563909775,19.533388375193343,MFCC
mfcc_delta2_06_mean,0.2957393483709273,0.13157894736842105,4.955003491959416,MFCC
mfcc_delta2_06_std,0.7982456140350878,0.6578947368421053,17.955562546694782,MFCC
mfcc_delta2_07_mean,0.07268170426065163,0.022556390977443608,1.4943195892398535,MFCC
mfcc_delta2_07_std,0.7631578947368421,0.5827067669172933,16.782739605288786,MFCC
mfcc_delta2_08_mean,0.12030075187969924,0.06390977443609022,2.018069496051573,MFCC
mfcc_delta2_08_std,0.7293233082706766,0.575187969924812,15.483257983527244,MFCC
mfcc_delta2_09_mean,0.556390977443609,0.4924812030075188,9.687860157677862,MFCC
mfcc_delta2_09_std,0.8095238095238094,0.7105263157894737,17.229090398421718,MFCC
mfcc_delta2_10_mean,0.3233082706766917,0.24812030075187969,5.362913234354051,MFCC
mfcc_delta2_10_std,0.7844611528822055,0.6353383458646616,16.817993888317037,MFCC
mfcc_delta2_11_mean,0.7293233082706768,0.5488721804511278,14.585425681708069,MFCC
mfcc_delta2_11_std,0.788220551378446,0.5977443609022557,17.722620030943983,MFCC
mfcc_delta2_12_mean,0.34962406015037595,0.30451127819548873,5.792504210312465,MFCC
mfcc_delta2_12_std,0.7368421052631579,0.42857142857142855,17.072715569881638,MFCC
mfcc_delta2_13_mean,0.40852130325814534,0.2819548872180451,6.9039641687352145,MFCC
mfcc_delta2_13_std,0.7907268170426066,0.6804511278195489,16.60542048168794,MFCC
mfcc_delta2_14_mean,0.11904761904761903,0.06390977443609022,2.032153574450098,MFCC
mfcc_delta2_14_std,0.7418546365914787,0.5676691729323309,15.879016485462197,MFCC
mfcc_delta2_15_mean,0.14035087719298245,0.09022556390977443,2.207283257732268,MFCC
mfcc_delta2_15_std,0.6791979949874687,0.6165413533834586,12.183213293999344,MFCC
mfcc_delta2_16_mean,0.2192982456140351,0.12781954887218044,3.429207251236051,MFCC
mfcc_delta2_16_std,0.6604010025062657,0.6052631578947368,11.056365332970946,MFCC
mfcc_delta2_17_mean,0.2807017543859649,0.2669172932330827,4.243743853131179,MFCC
mfcc_delta2_17_std,0.6015037593984962,0.48120300751879697,10.346980040200808,MFCC
mfcc_delta2_18_mean,0.17919799498746866,0.13533834586466165,2.621000146615709,MFCC
