feature,group,anova_f,p_value
mfcc_22_std,MFCC,13.7537229050626,8.592323376185534e-25
mfcc_23_mean,MFCC,4.088393220461311,6.771929956078245e-06
mfcc_23_std,MFCC,16.114998202339862,2.302351551967909e-29
mfcc_24_mean,MFCC,13.985011324937414,3.0449817717876678e-25
mfcc_24_std,MFCC,17.237741475974698,1.6263557148899479e-31
mfcc_25_mean,MFCC,24.525094800409665,4.4397115769251076e-45
mfcc_25_std,MFCC,13.288890216395698,6.937334219776249e-24
mfcc_26_mean,MFCC,17.946371824312436,7.272689925940466e-33
mfcc_26_std,MFCC,11.734088301046839,7.756685566638479e-21
mfcc_27_mean,MFCC,107.8926535173757,1.458284740156599e-160
mfcc_27_std,MFCC,14.046306620013658,2.3135603806943373e-25
mfcc_28_mean,MFCC,39.37540221283617,1.4403695598516516e-70
mfcc_28_std,MFCC,12.810061184849184,5.994748537447003e-23
mfcc_29_mean,MFCC,23.97935794585377,4.351288153169811e-44
mfcc_29_std,MFCC,14.177426796946866,1.2858903612220538e-25
mfcc_30_mean,MFCC,9.535693927161248,1.689638806219568e-16
mfcc_30_std,MFCC,13.467144988178827,3.1123605013241393e-24
mfcc_31_mean,MFCC,4.550714453059147,9.274662863078297e-07
mfcc_31_std,MFCC,12.840081362305854,5.23587938243435e-23
mfcc_32_mean,MFCC,4.917852563452116,1.8710207488865142e-07
mfcc_32_std,MFCC,13.577191343127966,1.8982069553379584e-24
mfcc_33_mean,MFCC,8.764918816134132,5.6497476526242014e-15
mfcc_33_std,MFCC,12.188421414628047,9.925628929688922e-22
mfcc_34_mean,MFCC,24.584559065154362,3.4640686182390445e-45
mfcc_34_std,MFCC,16.922751114533472,6.502936817741875e-31
mfcc_35_mean,MFCC,14.241832866356637,9.637784065368947e-26
mfcc_35_std,MFCC,13.779962702561255,7.637839553384541e-25
mfcc_36_mean,MFCC,4.168612153904114,4.808470276941233e-06
mfcc_36_std,MFCC,14.521112913804558,2.7636279017814145e-26
mfcc_37_mean,MFCC,11.82255181928228,5.1962679081787145e-21
mfcc_37_std,MFCC,18.947731059430247,9.239281287930083e-35
mfcc_38_mean,MFCC,9.704554341895381,7.83270554041234e-17
mfcc_38_std,MFCC,13.296893751755306,6.69200667542531e-24
mfcc_39_mean,MFCC,15.188236199997663,1.4095523910048055e-27
mfcc_39_std,MFCC,15.666962271903154,1.6779573196949913e-28
mfcc_40_mean,MFCC,26.44422153827371,1.560058102316535e-48
mfcc_40_std,MFCC,15.83493820947601,7.963347194229148e-29
mfcc_delta_01_mean,MFCC,66.68066477738479,5.4252873577643876e-111
mfcc_delta_01_std,MFCC,5.972187743972864,1.7469186944246527e-09
mfcc_delta_02_mean,MFCC,51.81754819134689,6.5055793255379695e-90
mfcc_delta_02_std,MFCC,9.575351322777719,1.4105107811012743e-16
mfcc_delta_03_mean,MFCC,18.063166302287677,4.3639773800421136e-33
mfcc_delta_03_std,MFCC,16.213230787300354,1.490607813789853e-29
mfcc_delta_04_mean,MFCC,15.80251825788529,9.194796397912611e-29
mfcc_delta_04_std,MFCC,33.74985372956475,3.062986744771502e-61
mfcc_delta_05_mean,MFCC,7.907155087864852,2.797377365713137e-13
mfcc_delta_05_std,MFCC,64.8565612091684,1.6380861470986388e-108
mfcc_delta_06_mean,MFCC,10.346141987802344,4.2265122372458205e-18
mfcc_delta_06_std,MFCC,57.36582737250986,5.069868067881339e-98
mfcc_delta_07_mean,MFCC,5.899481196165693,2.418086185967677e-09
mfcc_delta_07_std,MFCC,49.489246070677204,2.0282486201952148e-86
mfcc_delta_08_mean,MFCC,2.2249572970059317,0.011582483745545385
mfcc_delta_08_std,MFCC,40.660930862557464,1.2022674576402519e-72
mfcc_delta_09_mean,MFCC,5.454771440662598,1.7521689572135998e-08
mfcc_delta_09_std,MFCC,42.02342062010178,7.905914656609131e-75
mfcc_delta_10_mean,MFCC,7.014550107296146,1.602063140393897e-11
mfcc_delta_10_std,MFCC,39.544648079405256,7.65121326634554e-71
mfcc_delta_11_mean,MFCC,2.710475545341508,0.001893300023365514
mfcc_delta_11_std,MFCC,48.772622960076994,2.4758721651937733e-85
mfcc_delta_12_mean,MFCC,4.007544157997463,9.551317282560055e-06
mfcc_delta_12_std,MFCC,41.01102582534764,3.2906593155074636e-73
mfcc_delta_13_mean,MFCC,4.70580351945143,4.7264328559801864e-07
mfcc_delta_13_std,MFCC,35.65142549484553,1.950158923672945e-64
mfcc_delta_14_mean,MFCC,2.7651026492354642,0.0015327254403950145
mfcc_delta_14_std,MFCC,35.45707737940993,4.117871464575678e-64
mfcc_delta_15_mean,MFCC,2.896879006573299,0.0009158871895735499
mfcc_delta_15_std,MFCC,22.03368844136072,1.6039648673943857e-40
mfcc_delta_16_mean,MFCC,2.5761214167518127,0.0031647354250035316
mfcc_delta_16_std,MFCC,21.905487167710497,2.766820061496614e-40
mfcc_delta_17_mean,MFCC,4.485265113737041,1.2314379147998965e-06
mfcc_delta_17_std,MFCC,23.695792399576483,1.4297368519234304e-43
mfcc_delta_18_mean,MFCC,1.1272985058900356,0.33583704261199226
mfcc_delta_18_std,MFCC,22.91753758255841,3.790793803140604e-42
mfcc_delta_19_mean,MFCC,6.61746931152088,9.625205846917187e-11
mfcc_delta_19_std,MFCC,24.713813936844673,2.0206852974482115e-45
